index,Balance_ID,History_ID,Date,Money_Flow,Source,Source_Seq_No,Transaction_Amount,Balance,Unnamed: 0
,28080,144621,12/31/2019 21:12,250.0,nan5,8,250.0,1081.0,91.0
,28080,144621,12/31/2019 21:12,250.0,nan6,9,250.0,1331.0,92.0
,28080,144622,12/31/2019 21:12,81.0,alrajhi4,10,81.0,1412.0,93.0
,28080,144623,12/31/2019 21:12,-250.0,alrajhi3,5,-250.0,1162.0,94.0
,28080,144624,12/31/2019 21:13,-250.0,alrajhi3,5,-81.0,1081.0,95.0
,28080,144624,12/31/2019 21:13,-250.0,nan3,6,-169.0,912.0,96.0
,28080,144625,12/31/2019 21:13,250.0,alrajhi5,11,250.0,1162.0,97.0
,28080,144626,12/31/2019 21:13,250.0,alrajhi6,12,250.0,1412.0,98.0
,28080,144627,12/31/2019 21:13,-81.0,nan3,6,-81.0,1331.0,99.0
,28080,144628,12/31/2019 21:13,-250.0,nan4,7,-250.0,1081.0,100.0
,28080,144629,12/31/2019 21:13,-250.0,nan5,8,-250.0,831.0,101.0
,28080,144630,12/31/2019 21:13,-331.0,nan6,9,-250.0,581.0,102.0
,28080,144630,12/31/2019 21:13,-331.0,alrajhi4,10,-81.0,500.0,103.0
